BO0276;viale Bonaria (Basilica);5
BO0277;viale Bonaria (Basilica);5
BO0747;Viale Bonaria;7
BR0466;via Brigata Sassari (CTM Point);1Q,19,QSB,QSA,QS,41,40,31
BR0503;via Brigata Sassari (fronte via della Pace);19,QSB,QSA,QS,30
BR0509;via Brigata Sassari (ang. via Cagliari);19,QSB,QSA,QS,30
BR0914;via Brigata Sassari (fronte via Lombardia);19,QSB,QSA,QS,31
BR0916;via Brigata Sassari (ang via Cagliari);
BS0074;Via Borgo S. Elia;6
BS0215;via San Bartolomeo (Ingresso Parcheggi);6,5
BS0323;Borgo S. Elia;6
BS0324;Borgo S. Elia (angolo viale S. Ferrara);6
BS0325;via San Bartolomeo (Caserma Carabinieri);6,5
BS0341;Borgo S. Elia (Viale alberato);6
BS0342;Via Borgo Sant'Elia;6
BS0906;Borgo S. Elia (ang. via Livingstone);6
BT0874;via Basilicata (fronte via Istria);13
BT0875;via Basilicata (fronte via Dalmazia);13
BU0065;viale Buon Cammino (Polizia);8N,58
BU0068;viale Buon Cammino (Anfiteatro Romano);8N,58
BU0069;V.le Buon Cammino (Capolinea 20);8N,58
BU0070;viale Buon Cammino (fronte Carcere);8N,58
BU2000;Via Italia (Fermata da codificare definitivamente);40
BU2001;Via Bulgaria (quartello) da codificare;41
BV0672;via Bonorva;17
CA0082;via Campania (ang. via Mattei);3
CA0083;via Campania (fronte via Mattei);16,13,3
CA0085;via Campania (ang. via Capitanata);16,13,3
CA0610;Via Cagliari (fronte cimitero);9
CA0613;via Cagliari (Cimitero);19S,19,9A,9
CA1111;via Cagliari (civ 105 ang. via Dante);41
CA1112;via Cagliari (civico 201);41
CA1187;Via Caracalla (civ. 7);29S,29
CA1188;Via Caracalla Ang. Via C.D'Orso;29S,29
CA1198;Via Caracalla (dopo passaggio a livello);29S,29
CA607;Via Cagliari;9
CA609;Via Cagliari ;9
CA611;Via Cagliari, ;9
CB0427;via C. Cabras (civ. N. 108);19,QSB,QSA,QS,8H,8,M
CB0467;via C. Cabras (ang.via Zuddas);19S,19,QSB,QSA,QS,9M,8H,8,M
CB0479;via C. Cabras (civ. N. 1);29S,29,19S,19,QSB,QSA,QS,8H,8,M
CB0481;via C. Cabras (ang via Monte Morganai);19S,19,QSB,QSA,QS,9M,8H,8,M
CB0547;via C. Cabras (lato Polizia Municipale);19S,19,QSB,QSA,QS,8H,8,M
CB0654;via C. Cabras (Campi Sportivi);19,QSB,QSA,QS,8H,8,M
CB0823;via C. Cabras (pressi rotatoria);19S,19,QSB,QSA,QS,9M,8H,8,M
CB1251;via Cimabue (civ.72);41
CB1252;Via Cimabue (fronte civ. 21);41
CC0012;via Cocco Ortu (fronte Mercato);6
CC0202;via Cocco Ortu (ang. via Foscolo);6
CD0084;via Cadello (ang. via dei Falletti);8H,8,58,5S
CD0089;via Cadello (ang. via M. Piovella);13,8
CD0090;via Cadello (Giardini Provincia);13,8H,8
CD0091;via Cadello (Seminario);13,8
CD0092;via Cadello (Fronte Seminario);13,8H,8
CD0566;via Cadello (ang. via Cogoni);13,8
CE0863;via Curie;10
CE2010;Via Cecoslovacchia provvisoria;
CE2011;Via Cecoslovacchia provvisoria ;
CF0042;Largo C. Felice (Rinascente);1,8,7,8N,58
CF0043;largo C. Felice (lato Palazzo Civico);1,8,7,8N,58
CF0046;largo C. Felice (Yenne);10,8,8N,58
CG0903;via Cettigne (civ. N. 27);6
CG0905;via Cettigne (ang. via Costantinopoli);6
CH0955;via Chiaramonti;18
CH1101;Via Chiabrera;29S,29
CH1103;Via Chiabrera ;29S,29
CI0002;via Ciusa (lato deposito CTM);9M,M
CI0003;via Ciusa (fronte CTM);16,P,M
CI0006;via Ciusa (Provincia);16,3,M
CI0007;via Ciusa (Ist. L. da Vinci);13,3,9M,M
CI0233;via Ciusa (fronte via S.Carlo);9M,M
CI0234;via Ciusa (ang. via S.Carlo);16,P,M
CI0235;via Ciusa (fronte CRAL CTM);16,P,M
CI0236;via Ciusa (lato CRAL CTM);M
CI1253;via Cimitero;41
CI1254;Via Cimitero;
CL0216;Via Calamattia;19S,19
CL0337;Calamosca (civ. N. 26);
CL0338;Calamosca (Strada Faro);
CL0339;Calamosca (fronte Strada Faro);
CL0340;Calamosca (Capolinea);
CL0370;Calamosca (civ. N.15);
CM0334;Viale Cimitero (lato cimitero di Bonaria);6,31,30
CM0597;via Carmine (ang. via Desantis);19S,19,9A,9
CM0598;via Carmine (civ. N. 244);19S,19,9
CM0599;via Carmine (ang. via Montale);19S,19,9A,9
CM0600;via Carmine (fronte civ. N. 213);19S,19,9
CM0601;via Carmine (fronte Chiesa);19S,19,9A,9
CM0602;via Carmine (civ. N. 184);19S,19,9
